Destinations,Origins,Similarity
lichaam_MENSELIJKLICHAAM,geen hart in het lijf hebben_IDIOM,1.323529412
vuist_VUIST,duim_ZSTNW,4
zaaien_ZAAIEN,draadje_TOUWTJE,1.2
de mouwen opstropen_IDIOM,voer_ETEN,1.735294118
voor aap staan_IDIOM,raar_GEK,3.77
grond_BODEM,terrein_GROND,4.294117647
tekening_KIND,hetzelfde_HETZELFDE,2.88
vlam_ZSTNW,tussen twee vuren zitten_IDIOM,1.303030303
bedreiging_BEDREIGING,vlam_ZSTNW,3
hoorns_HOORNS,duivel_DUIVEL,4.352941177
keuze_KEUZE,verf_ZSTNW,1.36
speeksel_SPEEKSEL,woord_WOORD,3.72
speeksel_SPEEKSEL,tong_MOND,4.323529412
voor iemand door het vuur gaan_IDIOM,steun_STEUN_ZSTNW,4.64
achtervolgen_ACHTERNAZITTEN,uitslag_HUID,1.44
ingewanden_INGEWANDEN,onzeker_ONZEKER,1.88
boffen_BOFFEN,iets op poten zetten_IDIOM,1.323529412
iemand aan de tand voelen_IDIOM,kaak_KAAK,1.941176471
bedreigd_ONZEKER_ONVEILIG,lint_LINT,1.6
woord_WOORD,speeksel_SPEEKSEL,3.72
maag_MAAG,ingewanden_INGEWANDEN,4.441176471
woord_WOORD,op het puntje van de tong liggen_IDIOM,4.558823529
hoed_PET,muur_MUUR,1.28
vulling_VULLING,iemand iets in de schoenen schuiven_IDIOM,1.242424242
iemand iets in de schoenen schuiven_IDIOM,verwijt_ZSTNW,4.55
mouwen_MOUWEN,trui_TRUI,4.794117647
voer_ETEN,de mouwen opstropen_IDIOM,1.735294118
vonk_VONK,voor iemand door het vuur gaan_IDIOM,1.264705882
voor aap staan_IDIOM,staart_DIER,1.181818182
wreed_GEWELDDADIG,lichaam_MENSELIJKLICHAAM,1.68
wreed_GEWELDDADIG,geen hart in het lijf hebben_IDIOM,4.294117647
overheid_OVERHEID,iemand de wet voorschrijven_IDIOM,3.647058824
boffen_BOFFEN,poten_BENEN,1.12
neus_GEZICHT,bekwaam_BEKWAAM,1.68
met de rug tegen de muur staan_IDIOM,verf_ZSTNW,1.323529412
zakdoek_ZAKDOEK,neus_GEZICHT,4.147058824
uitslag_HUID,iemand op de huid zitten_IDIOM,1.212121212
ijskast_KOELKAST_VRIEZER,koel_KOUD,4.157894737
voeten_VOETEN,iemand iets in de schoenen schuiven_IDIOM,1.5
ergens mee in de maag zitten_IDIOM,ingewanden_INGEWANDEN,1.382352941
kruk_BLESSURE / kruk_STOEL,poten_BENEN,4.176470588
benen_LEDMATEN,ledematen_LEDEMATEN,4.5
iets van tafel vegen_IDIOM,afwijzen_AFWIJZEN,4.424242424
tekening_KIND,lijn_GEOMETRIE,3.647058824
iets op poten zetten_IDIOM,boffen_BOFFEN,1.323529412
vuur_ZSTNW,vonk_VONK,4.5
op zijn achterste benen staan_IDIOM,verzetten_WEERSTAND,3.95
onzin_ONZIN,vuist_VUIST,2.12
hoorns_HOORNS,schaken_SPEL,1.28
onzeker_ONZEKER,ingewanden_INGEWANDEN,1.88
wolken_WOLKEN,staken_NIET_WERKEN,1.16
ergens zijn neus voor optrekken_IDIOM,zakdoek_ZAKDOEK,1.382352941
overheid_OVERHEID,wet_WET,4.382352941
de koe bij de hoorns vatten_IDIOM,aanpakken_ER_TEGEN_AAN_GAAN,4.558823529
eetkamer_EETKAMER,iets van tafel vegen_IDIOM,2.470588235
iemand aan de tand voelen_IDIOM,soort_RAS,1.529411765
iemand tegen de schenen schoppen_IDIOM,druppel_WATER_ZSTNW,1.181818182
voeten_VOETEN,verwijt_ZSTNW,1.12
wakker_NIET_SLAAP,bellen_WW_TELEFOON,2.12
bekwaam_BEKWAAM,ergens zijn neus voor optrekken_IDIOM,1.735294118
roer_STUUR,schip_ZEE,4.05
roer_STUUR,trouw_ZSTNW,1.44
iemand wakker schudden_IDIOM,bellen_WW_TELEFOON,1.882352941
goedheid_GOEDHEID,iemand de wet voorschrijven_IDIOM,1.617647059
bellen_WW_TELEFOON,iemand wakker schudden_IDIOM,1.882352941
vloeistof_VLOEISTOF,lijn_GEOMETRIE,1.6
bepalen_BEPALEN,overheid_OVERHEID,3.96
beheerst_RUSTIG_HOUDEN,het hoofd koel houden_IDIOM,4.529411765
aap_AAP,staart_DIER,4.176470588
tong_MOND,winkel_GEBOUW,1.2
aan een zijden draadje hangen_IDIOM,zaaien_ZAAIEN,1.147058824
speeksel_SPEEKSEL,op het puntje van de tong liggen_IDIOM,1.212121212
huid_HUID,uitslag_HUID,4.088235294
druppel_WATER_ZSTNW,iemand tegen de schenen schoppen_IDIOM,1.181818182
lijf_LIJF,sleutel_SLOT,1.4
iets uit je duim zuigen_IDIOM,knoop_JAS,1.151515152
trui_TRUI,mouwen_MOUWEN,4.794117647
onweer_ONWEER,prijzen_PRIJZEN_WW,1.52
schoenen_SCHOENEN,voeten_VOETEN,4.8
iemand de wet voorschrijven_IDIOM,overheid_OVERHEID,3.647058824
zeggen_PRATEN,overdag_OVERDAG,1.56
terrein_GROND,verschijnen_VERSCHIJNEN,1.64
tussen twee vuren zitten_IDIOM,bedreiging_BEDREIGING,3.318181818
lichaam_MENSELIJKLICHAAM,lijf_LIJF,4.8
iets op poten zetten_IDIOM,kruk_BLESSURE / kruk_STOEL,1.235294118
kruk_BLESSURE / kruk_STOEL,iets op poten zetten_IDIOM,1.235294118
tong_MOND,speeksel_SPEEKSEL,4.323529412
ledematen_LEDEMATEN,benen_LEDMATEN,4.5
koel_KOUD,luier_BABY,1.16
tafel_ETEN_OBJECT,noodzaak_NOODZAAK,1.44
het hoofd koel houden_IDIOM,beheerst_RUSTIG_HOUDEN,4.529411765
iemand de wet voorschrijven_IDIOM,goedheid_GOEDHEID,1.617647059
bepalen_BEPALEN,iemand de wet voorschrijven_IDIOM,4.73
aan een zijden draadje hangen_IDIOM,bedreigd_ONZEKER_ONVEILIG,3.86
knoop_JAS,iets uit je duim zuigen_IDIOM,1.151515152
onzin_ONZIN,iets uit je duim zuigen_IDIOM,4.764705882
iemand de wet voorschrijven_IDIOM,bepalen_BEPALEN,4.73
op het puntje van de tong liggen_IDIOM,speeksel_SPEEKSEL,1.212121212
pols_GEWRICHT,schaamte_SCHAAMTE,1.44
aan een zijden draadje hangen_IDIOM,lint_LINT,1.382352941
aap_AAP,wraak_BOOSHEID,1.12
iets uit je duim zuigen_IDIOM,onzin_ONZIN,4.764705882
draadje_TOUWTJE,zaaien_ZAAIEN,1.2
steun_STEUN_ZSTNW,vonk_VONK,1.64
enkels_ENKELS,schenen_SCHENEN,3.911764706
verwaand_VERWAAND,zakdoek_ZAKDOEK,2.6
op het puntje van de tong liggen_IDIOM,woord_WOORD,4.558823529
goedheid_GOEDHEID,wet_WET,2.88
staken_NIET_WERKEN,iets tot in de wolken verheffen_IDIOM,1.352941177
overdag_OVERDAG,wakker_NIET_SLAAP,4.323529412
vlam_ZSTNW,vuren_ZSTNW,4.794117647
tussen twee vuren zitten_IDIOM,vlam_ZSTNW,1.303030303
pols_GEWRICHT,hartslag_HARTSLAG,4.323529412
iemand wakker schudden_IDIOM,overdag_OVERDAG,1.212121212
iemand op de huid zitten_IDIOM,doorbraak_DOORBRAAK,1.181818182
staart_DIER,aap_AAP,4.176470588
soort_RAS,iemand aan de tand voelen_IDIOM,1.529411765
iets uit de losse pols doen_IDIOM,makkelijk_MAKKELIJK,4.55
op zijn centen zitten_IDIOM,zuinig_ZUINIG,4.588235294
aan het roer staan_IDIOM,trouw_ZSTNW,2.029411765
verzetten_WEERSTAND,op zijn achterste benen staan_IDIOM,3.95
vraag_VRAAG_ZSTNW,kaak_KAAK,1.48
prijzen_PRIJZEN_WW,onweer_ONWEER,1.52
verf_ZSTNW,muur_MUUR,3.882352941
terrein_GROND,grond_BODEM,4.294117647
wraak_BOOSHEID,voor aap staan_IDIOM,1.484848485
met de rug tegen de muur staan_IDIOM,keuze_KEUZE,3.529411765
schip_ZEE,baas_BAAS,2.56
vuren_ZSTNW,rijkdom_RIJKDOM,1.56
lijn_GEOMETRIE,tekening_KIND,3.647058824
voor aap staan_IDIOM,wraak_BOOSHEID,1.484848485
opmerking_OPMERKING,als paddenstoelen uit de grond schieten_IDIOM,1.363636364
ijskast_KOELKAST_VRIEZER,beheerst_RUSTIG_HOUDEN,4.12
oefening_TRAINEN,maag_MAAG,1.64
duim_ZSTNW,vuist_VUIST,4
schip_ZEE,aan het roer staan_IDIOM,1.515151515
baas_BAAS,schip_ZEE,2.56
tand_TAND,soort_RAS,1.44
trui_TRUI,klus_OPDRACHT,1.88
geen hart in het lijf hebben_IDIOM,lichaam_MENSELIJKLICHAAM,1.323529412
klus_OPDRACHT,trui_TRUI,1.88
zakdoek_ZAKDOEK,ergens zijn neus voor optrekken_IDIOM,1.382352941
wet_WET,goedheid_GOEDHEID,2.88
als paddenstoelen uit de grond schieten_IDIOM,verschijnen_VERSCHIJNEN,4
raar_GEK,staart_DIER,2.12
duim_ZSTNW,knoop_JAS,1.76
iets tot in de wolken verheffen_IDIOM,staken_NIET_WERKEN,1.352941177
voor iemand door het vuur gaan_IDIOM,kluis_KLUIS,1.121212121
koel_KOUD,ijskast_KOELKAST_VRIEZER,4.157894737
rijkdom_RIJKDOM,vuren_ZSTNW,1.56
verf_ZSTNW,met de rug tegen de muur staan_IDIOM,1.323529412
lint_LINT,draadje_TOUWTJE,3.705882353
voor iemand door het vuur gaan_IDIOM,vonk_VONK,1.264705882
vonk_VONK,steun_STEUN_ZSTNW,1.64
als paddenstoelen uit de grond schieten_IDIOM,terrein_GROND,1.121212121
het niet breed hebben_IDIOM,armoede_WEINIG_HEBBEN,4.95
zuinig_ZUINIG,verkoop_VERKOOP,4
wet_WET,overheid_OVERHEID,4.382352941
schaken_SPEL,de koe bij de hoorns vatten_IDIOM,1.147058824
verwijt_ZSTNW,voeten_VOETEN,1.12
luier_BABY,koel_KOUD,1.16
schoenen_SCHOENEN,vulling_VULLING,1.76
baas_BAAS,aan het roer staan_IDIOM,4.82
mouwen_MOUWEN,voer_ETEN,1.64
breed_BREED,grapje_GRAPJE,1.43
op zijn centen zitten_IDIOM,verkoop_VERKOOP,2.294117647
iets uit de losse pols doen_IDIOM,hartslag_HARTSLAG,1.121212121
aan het roer staan_IDIOM,baas_BAAS,4.82
ergens mee in de maag zitten_IDIOM,oefening_TRAINEN,1.151515152
kwetsen_KWETSEN,enkels_ENKELS,1.36
kaak_KAAK,tand_TAND,4.5
ledematen_LEDEMATEN,verzetten_WEERSTAND,2.76
met de rug tegen de muur staan_IDIOM,hoed_PET,1.117647059
achtervolgen_ACHTERNAZITTEN,iemand op de huid zitten_IDIOM,4.23
iemand iets in de schoenen schuiven_IDIOM,vulling_VULLING,1.242424242
trouw_ZSTNW,aan het roer staan_IDIOM,2.029411765
ingewanden_INGEWANDEN,maag_MAAG,4.441176471
iemand aan de tand voelen_IDIOM,vraag_VRAAG_ZSTNW,4.27
hartslag_HARTSLAG,makkelijk_MAKKELIJK,1.64
de koe bij de hoorns vatten_IDIOM,schaken_SPEL,1.147058824
vlam_ZSTNW,bedreiging_BEDREIGING,3
maag_MAAG,oefening_TRAINEN,1.64
poten_BENEN,boffen_BOFFEN,1.12
lint_LINT,aan een zijden draadje hangen_IDIOM,1.382352941
wijd_BREED,armoede_WEINIG_HEBBEN,2.68
vuren_ZSTNW,vlam_ZSTNW,4.794117647
aan het roer staan_IDIOM,schip_ZEE,1.515151515
iets uit je duim zuigen_IDIOM,vuist_VUIST,1.151515152
noodzaak_NOODZAAK,tafel_ETEN_OBJECT,1.44
duivel_DUIVEL,hoorns_HOORNS,4.352941177
eetkamer_EETKAMER,afwijzen_AFWIJZEN,1.24
luier_BABY,het hoofd koel houden_IDIOM,1.121212121
zeggen_PRATEN,iemand wakker schudden_IDIOM,3.73
ingewanden_INGEWANDEN,ergens mee in de maag zitten_IDIOM,1.382352941
tafel_ETEN_OBJECT,eetkamer_EETKAMER,4.382352941
vuist_VUIST,iets uit je duim zuigen_IDIOM,1.151515152
neus_GEZICHT,zakdoek_ZAKDOEK,4.147058824
klus_OPDRACHT,de mouwen opstropen_IDIOM,4.23
geen hart in het lijf hebben_IDIOM,sleutel_SLOT,1.121212121
iets uit de losse pols doen_IDIOM,schaamte_SCHAAMTE,1.176470588
draadje_TOUWTJE,lint_LINT,3.705882353
schenen_SCHENEN,druppel_WATER_ZSTNW,1.16
overdag_OVERDAG,iemand wakker schudden_IDIOM,1.212121212
hartslag_HARTSLAG,pols_GEWRICHT,4.323529412
spijker_ZSTNW,centen_CENTEN,1.71
schip_ZEE,roer_STUUR,4.05
ergens mee in de maag zitten_IDIOM,onzeker_ONZEKER,3.55
enkels_ENKELS,kwetsen_KWETSEN,1.36
vulling_VULLING,schoenen_SCHOENEN,1.76
bellen_WW_TELEFOON,wakker_NIET_SLAAP,2.12
makkelijk_MAKKELIJK,iets uit de losse pols doen_IDIOM,4.55
verschijnen_VERSCHIJNEN,terrein_GROND,1.64
muur_MUUR,hoed_PET,1.28
verkleden_VERKLEDEN,benen_LEDMATEN,1.96
sleutel_SLOT,geen hart in het lijf hebben_IDIOM,1.121212121
sleutel_SLOT,lijf_LIJF,1.4
duivel_DUIVEL,aanpakken_ER_TEGEN_AAN_GAAN,2.88
verf_ZSTNW,keuze_KEUZE,1.36
het hoofd koel houden_IDIOM,luier_BABY,1.121212121
knoop_JAS,duim_ZSTNW,1.76
rijkdom_RIJKDOM,tussen twee vuren zitten_IDIOM,1.647058824
doorbraak_DOORBRAAK,huid_HUID,1.4
iets tot in de wolken verheffen_IDIOM,onweer_ONWEER,1.617647059
ergens zijn neus voor optrekken_IDIOM,verwaand_VERWAAND,4.55
trouw_ZSTNW,roer_STUUR,1.44
op zijn centen zitten_IDIOM,spijker_ZSTNW,1.457385725
wakker_NIET_SLAAP,overdag_OVERDAG,4.323529412
kwetsen_KWETSEN,iemand tegen de schenen schoppen_IDIOM,4.5
zaaien_ZAAIEN,aan een zijden draadje hangen_IDIOM,1.147058824
het hoofd koel houden_IDIOM,ijskast_KOELKAST_VRIEZER,1.212121212
kruk_BLESSURE / kruk_STOEL,opbouwen_OPBOUWEN,1.96
winkel_GEBOUW,tong_MOND,1.2
iemand op de huid zitten_IDIOM,uitslag_HUID,1.212121212
wolken_WOLKEN,onweer_ONWEER,4.470588235
iemand iets in de schoenen schuiven_IDIOM,voeten_VOETEN,1.5
hartslag_HARTSLAG,iets uit de losse pols doen_IDIOM,1.121212121
afwijzen_AFWIJZEN,iets van tafel vegen_IDIOM,4.424242424
kaak_KAAK,iemand aan de tand voelen_IDIOM,1.941176471
ergens zijn neus voor optrekken_IDIOM,bekwaam_BEKWAAM,1.735294118
kaak_KAAK,vraag_VRAAG_ZSTNW,1.48
uitslag_HUID,achtervolgen_ACHTERNAZITTEN,1.44
bedreigd_ONZEKER_ONVEILIG,aan een zijden draadje hangen_IDIOM,3.86
tussen twee vuren zitten_IDIOM,rijkdom_RIJKDOM,1.647058824
verschijnen_VERSCHIJNEN,als paddenstoelen uit de grond schieten_IDIOM,4
staart_DIER,raar_GEK,2.12
vuur_ZSTNW,kluis_KLUIS,1.28
afwijzen_AFWIJZEN,eetkamer_EETKAMER,1.24
doorbraak_DOORBRAAK,iemand op de huid zitten_IDIOM,1.181818182
bekwaam_BEKWAAM,neus_GEZICHT,1.68
vonk_VONK,vuur_ZSTNW,4.5
poten_BENEN,kruk_BLESSURE / kruk_STOEL,4.176470588
bedreiging_BEDREIGING,tussen twee vuren zitten_IDIOM,3.318181818
iemand wakker schudden_IDIOM,zeggen_PRATEN,3.73
aanpakken_ER_TEGEN_AAN_GAAN,de koe bij de hoorns vatten_IDIOM,4.558823529
grond_BODEM,opmerking_OPMERKING,1.6
breed_BREED,wijd_BREED,4.382352941
opmerking_OPMERKING,grond_BODEM,1.6
noodzaak_NOODZAAK,iets van tafel vegen_IDIOM,2.235294118
terrein_GROND,als paddenstoelen uit de grond schieten_IDIOM,1.121212121
prijzen_PRIJZEN_WW,iets tot in de wolken verheffen_IDIOM,4.45
benen_LEDMATEN,verkleden_VERKLEDEN,1.96
iets op poten zetten_IDIOM,opbouwen_OPBOUWEN,4.64
staart_DIER,voor aap staan_IDIOM,1.181818182
beheerst_RUSTIG_HOUDEN,ijskast_KOELKAST_VRIEZER,4.12
het niet breed hebben_IDIOM,wijd_BREED,2.058823529
lichaam_MENSELIJKLICHAAM,wreed_GEWELDDADIG,1.68
trui_TRUI,de mouwen opstropen_IDIOM,2.588235294
op zijn achterste benen staan_IDIOM,verkleden_VERKLEDEN,1.151515152
hetzelfde_HETZELFDE,tekening_KIND,2.88
schaamte_SCHAAMTE,pols_GEWRICHT,1.44
de mouwen opstropen_IDIOM,klus_OPDRACHT,4.23
aanpakken_ER_TEGEN_AAN_GAAN,duivel_DUIVEL,2.88
overheid_OVERHEID,bepalen_BEPALEN,3.96
verkoop_VERKOOP,op zijn centen zitten_IDIOM,2.294117647
zuinig_ZUINIG,op zijn centen zitten_IDIOM,4.588235294
vuist_VUIST,onzin_ONZIN,2.12
schenen_SCHENEN,enkels_ENKELS,3.911764706
ledematen_LEDEMATEN,op zijn achterste benen staan_IDIOM,1.264705882
wraak_BOOSHEID,aap_AAP,1.12
de mouwen opstropen_IDIOM,trui_TRUI,2.588235294
geen hart in het lijf hebben_IDIOM,wreed_GEWELDDADIG,4.294117647
soort_RAS,tand_TAND,1.44
overdag_OVERDAG,zeggen_PRATEN,1.56
hoed_PET,met de rug tegen de muur staan_IDIOM,1.117647059
grapje_GRAPJE,breed_BREED,1.43
onweer_ONWEER,wolken_WOLKEN,4.470588235
opbouwen_OPBOUWEN,kruk_BLESSURE / kruk_STOEL,1.96
lijn_GEOMETRIE,vloeistof_VLOEISTOF,1.6
onweer_ONWEER,iets tot in de wolken verheffen_IDIOM,1.617647059
op zijn achterste benen staan_IDIOM,ledematen_LEDEMATEN,1.264705882
keuze_KEUZE,met de rug tegen de muur staan_IDIOM,3.529411765
iemand tegen de schenen schoppen_IDIOM,enkels_ENKELS,1.212121212
iemand tegen de schenen schoppen_IDIOM,kwetsen_KWETSEN,4.5
schaamte_SCHAAMTE,iets uit de losse pols doen_IDIOM,1.176470588
het niet breed hebben_IDIOM,grapje_GRAPJE,1.265176464
de koe bij de hoorns vatten_IDIOM,duivel_DUIVEL,1.323529412
armoede_WEINIG_HEBBEN,wijd_BREED,2.68
lijf_LIJF,lichaam_MENSELIJKLICHAAM,4.8
voeten_VOETEN,schoenen_SCHOENEN,4.8
als paddenstoelen uit de grond schieten_IDIOM,opmerking_OPMERKING,1.363636364
tand_TAND,kaak_KAAK,4.5
onzeker_ONZEKER,ergens mee in de maag zitten_IDIOM,3.55
kluis_KLUIS,vuur_ZSTNW,1.28
oefening_TRAINEN,ergens mee in de maag zitten_IDIOM,1.151515152
vraag_VRAAG_ZSTNW,iemand aan de tand voelen_IDIOM,4.27
schaken_SPEL,hoorns_HOORNS,1.28
kluis_KLUIS,voor iemand door het vuur gaan_IDIOM,1.121212121
centen_CENTEN,verkoop_VERKOOP,3.764705882
ijskast_KOELKAST_VRIEZER,het hoofd koel houden_IDIOM,1.212121212
iemand op de huid zitten_IDIOM,achtervolgen_ACHTERNAZITTEN,4.23
muur_MUUR,verf_ZSTNW,3.882352941
voer_ETEN,mouwen_MOUWEN,1.64
verwaand_VERWAAND,ergens zijn neus voor optrekken_IDIOM,4.55
raar_GEK,voor aap staan_IDIOM,3.77
druppel_WATER_ZSTNW,schenen_SCHENEN,1.16
verkoop_VERKOOP,zuinig_ZUINIG,4
steun_STEUN_ZSTNW,voor iemand door het vuur gaan_IDIOM,4.64
iets tot in de wolken verheffen_IDIOM,prijzen_PRIJZEN_WW,4.45
verzetten_WEERSTAND,ledematen_LEDEMATEN,2.76
iets van tafel vegen_IDIOM,noodzaak_NOODZAAK,2.235294118
huid_HUID,doorbraak_DOORBRAAK,1.4
zakdoek_ZAKDOEK,verwaand_VERWAAND,2.6
wijd_BREED,het niet breed hebben_IDIOM,2.058823529
winkel_GEBOUW,op het puntje van de tong liggen_IDIOM,1.151515152
staken_NIET_WERKEN,wolken_WOLKEN,1.16
wijd_BREED,breed_BREED,4.382352941
spijker_ZSTNW,op zijn centen zitten_IDIOM,1.457385725
opbouwen_OPBOUWEN,iets op poten zetten_IDIOM,4.64
verkleden_VERKLEDEN,op zijn achterste benen staan_IDIOM,1.151515152
iets van tafel vegen_IDIOM,eetkamer_EETKAMER,2.470588235
centen_CENTEN,spijker_ZSTNW,1.71
verwijt_ZSTNW,iemand iets in de schoenen schuiven_IDIOM,4.55
vloeistof_VLOEISTOF,één lijn trekken_IDIOM,1.529411765
duivel_DUIVEL,de koe bij de hoorns vatten_IDIOM,1.323529412
makkelijk_MAKKELIJK,hartslag_HARTSLAG,1.64
uitslag_HUID,huid_HUID,4.088235294
verkoop_VERKOOP,centen_CENTEN,3.764705882
eetkamer_EETKAMER,tafel_ETEN_OBJECT,4.382352941
lint_LINT,bedreigd_ONZEKER_ONVEILIG,1.6
enkels_ENKELS,iemand tegen de schenen schoppen_IDIOM,1.212121212
op het puntje van de tong liggen_IDIOM,winkel_GEBOUW,1.151515152
armoede_WEINIG_HEBBEN,het niet breed hebben_IDIOM,4.95
grapje_GRAPJE,het niet breed hebben_IDIOM,1.265176464
